symbol,stockPrices
XNSE/HNGSNGBEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (HNGSNGBEES) Adjusted Stock Prices
XNSE/DIAPOWER,Diamond Power Infrastructure Ltd. (DIAPOWER) Adjusted Stock Prices
XNSE/MGOLD,Motilal Oswal Asset Management Company Limited (MGOLD) Adjusted Stock Prices
XNSE/TALWALKARS,Talwalkars Better Value Fitness Ltd. (TALWALKARS) Adjusted Stock Prices
XNSE/FORTIS,Fortis Healthcare Ltd (FORTIS) Adjusted Stock Prices
XNSE/DHUNINV,Dhunseri Investments Ltd (DHUNINV) Adjusted Stock Prices
XNSE/TATAGLOBAL,Tata Global Beverages Ltd. (TATAGLOBAL) Adjusted Stock Prices
XNSE/N5SBIN,State Bank of India (N5SBIN) Adjusted Stock Prices
XNSE/MFLTMFXTG,L&T Investment Management Limited (MFLTMFXTG) Adjusted Stock Prices
XNSE/VSTTILLERS,VST Tillers Tractors Ltd. (VSTTILLERS) Adjusted Stock Prices
XNSE/TATAMETALI,Tata Metaliks Ltd. (TATAMETALI) Adjusted Stock Prices
XNSE/MFIPRU1799,ICICI Prudential Asset Management Company Ltd. (MFIPRU1799) Adjusted Stock Prices
XNSE/W1SAKUMA,Sakuma Exports Ltd. (W1SAKUMA) Adjusted Stock Prices
XNSE/MFUTRGESSRGR,UTI Asset Management Company Ltd (MFUTRGESSRGR) Adjusted Stock Prices
XNSE/PRECWIRE,Precision Wires India Ltd. (PRECWIRE) Adjusted Stock Prices
XNSE/ESABINDIA,ESAB India Ltd. (ESABINDIA) Adjusted Stock Prices
XNSE/OCL,OCL India Ltd. (OCL) Adjusted Stock Prices
XNSE/INFOMEDIA,Infomedia Press Ltd (INFOMEDIA) Adjusted Stock Prices
XNSE/SHIVAMAUTO,Shivam Autotech Ltd (SHIVAMAUTO) Adjusted Stock Prices
XNSE/KALYANIFRG,Kalyani Forge Ltd. (KALYANIFRG) Adjusted Stock Prices
XNSE/NAVKARCORP,Navkar Corporation Ltd. (NAVKARCORP) Adjusted Stock Prices
XNSE/BPLENGG,BPL Engineering Ltd. (BPLENGG) Adjusted Stock Prices
XNSE/TV_18,Television Eighteen India Ltd.
XNSE/N6L_TFINANCE,L&T Finance Limited. (N6L.TFINANCE) Adjusted Stock Prices
XNSE/GUJNRECOKE,Gujarat NRE Coke Ltd (GUJNRECOKE) Adjusted Stock Prices
XNSE/FLEXITUFF,Flexituff International Limited (FLEXITUFF) Adjusted Stock Prices
XNSE/BSLIMITED,BS Ltd. (BSLIMITED) Adjusted Stock Prices
XNSE/N3IRFC,Indian Railway Finance Corp (N3IRFC) Adjusted Stock Prices
XNSE/MFDWSFMP52DG,Deutsche Asset Management (India) Pvt Ltd (MFDWSFMP52DG) Adjusted Stock Prices
XNSE/NOESISIND,Noesis Industries Ltd. (NOESISIND) Adjusted Stock Prices
XNSE/INTELLECT,Intellect Design Arena Ltd (INTELLECT) Adjusted Stock Prices
XNSE/MAGNUM,Magnum Ventures Ltd. (MAGNUM) Adjusted Stock Prices
XNSE/TULSI,Tulsi Extrusions Ltd (TULSI) Adjusted Stock Prices
XNSE/HEROMOTOCO,Hero MotoCorp Ltd (HEROMOTOCO) Adjusted Stock Prices
XNSE/VETO,Veto Switchgears & Cables Ltd. (VETO) Adjusted Stock Prices
XNSE/TIJARIA,Tijaria Polypipes Ltd (TIJARIA) Adjusted Stock Prices
XNSE/SUNDRMFAST,Sundram Fasteners Ltd (SUNDRMFAST) Adjusted Stock Prices
XNSE/20MICRONS,20 Microns Ltd (20MICRONS) Adjusted Stock Prices
XNSE/JUNIORBEES,Goldman Sachs Asset Management (India) Pvt. Ltd. (JUNIORBEES) Adjusted Stock Prices
XNSE/ICRA,ICRA Ltd. (ICRA) Adjusted Stock Prices
XNSE/GANESHHOUC,Ganesh Housing Corporation Ltd. (GANESHHOUC) Adjusted Stock Prices
XNSE/NATNLSTEEL,National Steel and Agro Industries Ltd. (NATNLSTEEL) Adjusted Stock Prices
XNSE/KSBPUMPS,KSB Pumps Ltd. (KSBPUMPS) Adjusted Stock Prices
XNSE/MOTOGENFIN,Motor & General Finance Ltd. (MOTOGENFIN) Adjusted Stock Prices
XNSE/MFDWSHFTF3DP,Deutsche Asset Management (India) Pvt Ltd (MFDWSHFTF3DP) Adjusted Stock Prices
XNSE/SHPRE,Shree Precoated Steels Ltd (SHPRE) Adjusted Stock Prices
XNSE/UNITEDTEA,United Nilgiri Tea Estates Co. Ltd. (UNITEDTEA) Adjusted Stock Prices
XNSE/EASTSILK,Eastern Silk Industries Ltd. (EASTSILK) Adjusted Stock Prices
XNSE/ADI,Fairchem Speciality Ltd. (ADI) Adjusted Stock Prices
XNSE/N2IIFLFIN,India Infoline Finance Ltd (N2IIFLFIN) Adjusted Stock Prices
XNSE/N9SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N9SRTRANSFIN) Adjusted Stock Prices
XNSE/SUPPETRO,Supreme Petrochem Ltd. (SUPPETRO) Adjusted Stock Prices
XNSE/DHANUS,Dhanus Technologies Ltd.
XNSE/RECLTD,Rural Electrification Corporation Ltd (RECLTD) Adjusted Stock Prices
XNSE/MFIPRU2317,ICICI Prudential Asset Management Company Ltd. (MFIPRU2317) Adjusted Stock Prices
XNSE/IGARASHI,Igarashi Motors India Ltd. (IGARASHI) Adjusted Stock Prices
XNSE/KOTAKBANK,Kotak Mahindra Bank Ltd. (KOTAKBANK) Adjusted Stock Prices
XNSE/WABAG,Va Tech Wabag Ltd (WABAG) Adjusted Stock Prices
XNSE/N4IRFC,Indian Railway Finance Corp (N4IRFC) Adjusted Stock Prices
XNSE/MAWANASUG,Mawana Sugars Ltd (MAWANASUG) Adjusted Stock Prices
XNSE/MFSMCSRIVRG,Sundaram Asset Management Company Limited (MFSMCSRIVRG) Adjusted Stock Prices
XNSE/RTNINFRA,RattanIndia Infrastructure Ltd. (RTNINFRA) Adjusted Stock Prices
XNSE/DECOLIGHT,Decolight Ceramics Ltd. (DECOLIGHT) Adjusted Stock Prices
XNSE/N1TITAN,Titan Co. Ltd (N1TITAN) Adjusted Stock Prices
XNSE/JSWENERGY,JSW Energy Ltd (JSWENERGY) Adjusted Stock Prices
XNSE/ANIKINDS,Anik Industries Ltd. (ANIKINDS) Adjusted Stock Prices
XNSE/SADBHAV,Sadbhav Engineering Ltd. (SADBHAV) Adjusted Stock Prices
XNSE/HINDUNILVR,Hindustan Unilever Ltd. (HINDUNILVR) Adjusted Stock Prices
XNSE/SAVERA,Savera Industries Ltd.
XNSE/PFIZER,Pfizer Ltd. (PFIZER) Adjusted Stock Prices
XNSE/BAFNAPHARM,Bafna Pharmaceuticals Ltd (BAFNAPHARM) Adjusted Stock Prices
XNSE/SGJHL,Shree Ganesh Jewellery House (I) Ltd. (SGJHL) Adjusted Stock Prices
XNSE/BIRLAMONEY,Aditya Birla Money Ltd (BIRLAMONEY) Adjusted Stock Prices
XNSE/BEPL,Bhansali Engineering Polymers Ltd. (BEPL) Adjusted Stock Prices
XNSE/SKSMICRO,Bharat Financial Inclusion Ltd (SKSMICRO) Adjusted Stock Prices
XNSE/HUBTOWN,Hubtown Ltd (HUBTOWN) Adjusted Stock Prices
XNSE/SUMMIT,Summit Securities Ltd (SUMMIT) Adjusted Stock Prices
XNSE/W1APPAPER,International Paper APPM Ltd. (W1APPAPER) Adjusted Stock Prices
XNSE/BUTTERFLY,Butterfly Gandhimathi Appliances Ltd (BUTTERFLY) Adjusted Stock Prices
XNSE/NET4,Net 4 India Ltd. (NET4) Adjusted Stock Prices
XNSE/SAKSOFT,Saksoft Ltd. (SAKSOFT) Adjusted Stock Prices
XNSE/MAHINDCIE,Mahindra CIE Automotive Ltd. (MAHINDCIE) Adjusted Stock Prices
XNSE/RELCONS,Reliance Nippon Life Asset Management Ltd. (RELCONS) Adjusted Stock Prices
XNSE/UBENGG,UB Engineering Ltd.
XNSE/METALFORGE,Metalyst Forgings Ltd. (METALFORGE) Adjusted Stock Prices
XNSE/KICL,Kalyani Investment Co Ltd (KICL) Adjusted Stock Prices
XNSE/VISAKAIND,Visaka Industries Ltd. (VISAKAIND) Adjusted Stock Prices
XNSE/RELCAPITAL,Reliance Capital Ltd. (RELCAPITAL) Adjusted Stock Prices
XNSE/PHILIPCARB,Phillips Carbon Black Ltd. (PHILIPCARB) Adjusted Stock Prices
XNSE/PARRYSUGAR,Parry Sugar Industries Ltd (PARRYSUGAR) Adjusted Stock Prices
XNSE/WILLAMAGOR,Williamson Magor & Co. Ltd. (WILLAMAGOR) Adjusted Stock Prices
XNSE/GODREJCP,Godrej Consumer Products Ltd (GODREJCP) Adjusted Stock Prices
XNSE/LAKPRE,Lakshmi Precision Screws Ltd. (LAKPRE) Adjusted Stock Prices
XNSE/VALECHAENG,Valecha Engineering Ltd. (VALECHAENG) Adjusted Stock Prices
XNSE/YESBANK,Yes Bank Ltd. (YESBANK) Adjusted Stock Prices
XNSE/NAGREEKCAP,Nagreeka Capital & Infrastructure Ltd. (NAGREEKCAP) Adjusted Stock Prices
XNSE/NAUKRI,Info Edge (India) Ltd. (NAUKRI) Adjusted Stock Prices
XNSE/N2IDBI0205,IDBI Bank Ltd (N2IDBI0205) Adjusted Stock Prices
XNSE/MIRCELECTR,Mirc Electronics Ltd. (MIRCELECTR) Adjusted Stock Prices
XNSE/APOLLOTYRE,Apollo Tyres Ltd. (APOLLOTYRE) Adjusted Stock Prices
XNSE/LICHSGFIN,LIC Housing Finance Ltd. (LICHSGFIN) Adjusted Stock Prices
XNSE/NYSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NYSRTRANSFIN) Adjusted Stock Prices
XNSE/DELTAMAGNT,Delta Magnets Ltd (DELTAMAGNT) Adjusted Stock Prices
XNSE/MAHSCOOTER,Maharashtra Scooters Ltd. (MAHSCOOTER) Adjusted Stock Prices
XNSE/BRANDHOUSE,Brandhouse Retails Ltd (BRANDHOUSE) Adjusted Stock Prices
XNSE/COREEDUTEC,Core Education & Technologies Ltd (COREEDUTEC) Adjusted Stock Prices
XNSE/N7RELIFIN,Religare Finvest Limited (N7RELIFIN) Adjusted Stock Prices
XNSE/GARWALLROP,Garware-Wall Ropes Ltd. (GARWALLROP) Adjusted Stock Prices
XNSE/BODHTREE,Bodhtree Consulting Ltd
XNSE/VOLTAMP,Voltamp Transformers Ltd. (VOLTAMP) Adjusted Stock Prices
XNSE/IPAPPM,International Paper APPM Ltd. (IPAPPM) Adjusted Stock Prices
XNSE/RCF,Rashtriya Chemicals & Fertilizers Ltd. (RCF) Adjusted Stock Prices
XNSE/MBECL,McNally Bharat Engineering Co. Ltd. (MBECL) Adjusted Stock Prices
XNSE/PARACABLES,Paramount Communications Ltd (PARACABLES) Adjusted Stock Prices
XNSE/HAVELLS,Havells India Ltd. (HAVELLS) Adjusted Stock Prices
XNSE/ASHIMASYN,Ashima Ltd. (ASHIMASYN) Adjusted Stock Prices
XNSE/CHEMFALKAL,Chemfab Alkalis Ltd. (CHEMFALKAL) Adjusted Stock Prices
XNSE/OENCONNECT,FCI OEN Connectors Ltd.
XNSE/MANUGRAPH,Manugraph India Ltd. (MANUGRAPH) Adjusted Stock Prices
XNSE/TATAMOTORS,Tata Motors Ltd. (TATAMOTORS) Adjusted Stock Prices
XNSE/RKDL,Ravi Kumar Distilleries Limited (RKDL) Adjusted Stock Prices
XNSE/CREST,Crest Ventures Ltd. (CREST) Adjusted Stock Prices
XNSE/PTL,PTL Enterprises Ltd. (PTL) Adjusted Stock Prices
XNSE/POWERGRID,Power Grid Corporation of India Ltd. (POWERGRID) Adjusted Stock Prices
XNSE/RADICO,Radico Khaitan Ltd (RADICO) Adjusted Stock Prices
XNSE/INFY,Infosys Ltd (INFY) Adjusted Stock Prices
XNSE/IIFL,IIFL Holdings Ltd. (IIFL) Adjusted Stock Prices
XNSE/N4IIFLFIN,India Infoline Finance Ltd (N4IIFLFIN) Adjusted Stock Prices
XNSE/HATSUN,Hatsun Agro Products Ltd. (HATSUN) Adjusted Stock Prices
XNSE/CHEMPLAST,Chemplast Sanmar Ltd.
XNSE/MFKTKFMP24DG,Kotak Mahindra Asset Management Company Ltd (MFKTKFMP24DG) Adjusted Stock Prices
XNSE/LICNMFET,LIC NOMURA Mutual Fund Asset Management Company Limited (LICNMFET) Adjusted Stock Prices
XNSE/ADVANTA,Advanta Ltd. (ADVANTA) Adjusted Stock Prices
XNSE/GENESYS,Genesys International Corporation Ltd. (GENESYS) Adjusted Stock Prices
XNSE/MAKE,Marico Kaya Enterprises Ltd (MAKE) Adjusted Stock Prices
XNSE/SBT,State Bank of Travancore (SBT) Adjusted Stock Prices
XNSE/CIMMCO,Cimmco Ltd. (CIMMCO) Adjusted Stock Prices
XNSE/TEXMOPIPES,Texmo Pipes and Products Ltd. (TEXMOPIPES) Adjusted Stock Prices
XNSE/RPGCABLES,RPG Cables Ltd. (RPGCABLES) Adjusted Stock Prices
XNSE/DOLPHINOFF,Dolphin Offshore Enterprises (India) Ltd. (DOLPHINOFF) Adjusted Stock Prices
XNSE/E2DISHTV,Dish TV India Ltd (E2DISHTV) Adjusted Stock Prices
XNSE/NELCO,NELCO Ltd. (NELCO) Adjusted Stock Prices
XNSE/MFHRGESSRG2,HDFC Asset Management Company Ltd. (MFHRGESSRG2) Adjusted Stock Prices
XNSE/SBIGETS,SBI Funds Management Private Limited (SBIGETS) Adjusted Stock Prices
XNSE/DSKULKARNI,D.S. Kulkarni Developers Ltd. (DSKULKARNI) Adjusted Stock Prices
XNSE/NIFTYEES,Edelweiss Asset Management Ltd. (NIFTYEES) Adjusted Stock Prices
XNSE/N2MUTHOOTFIN,Muthoot Finance Ltd. (N2MUTHOOTFIN) Adjusted Stock Prices
XNSE/KANSAINER,Kansai Nerolac Paints Ltd. (KANSAINER) Adjusted Stock Prices
XNSE/TELEMARINE,Teledata Marine Solutions Ltd (TELEMARINE) Adjusted Stock Prices
XNSE/KNRCON,KNR Constructions Ltd (KNRCON) Adjusted Stock Prices
XNSE/SYNDIBANK,Syndicate Bank (SYNDIBANK) Adjusted Stock Prices
XNSE/NPSRTRANSFIN,Shriram Transport Finance Co. Ltd. (NPSRTRANSFIN) Adjusted Stock Prices
XNSE/GINNIFILA,Ginni Filaments Ltd. (GINNIFILA) Adjusted Stock Prices
XNSE/MFBSLCP5G,Birla Sun Life Asset Management Company Ltd (MFBSLCP5G) Adjusted Stock Prices
XNSE/GTNIND,GTN Industries Ltd. (GTNIND) Adjusted Stock Prices
XNSE/CASTEXTECH,Castex Technologies Ltd. (CASTEXTECH) Adjusted Stock Prices
XNSE/GOACARBON,Goa Carbon Ltd. (GOACARBON) Adjusted Stock Prices
XNSE/BLUECOAST,Blue Coast Hotels Ltd (BLUECOAST) Adjusted Stock Prices
XNSE/DIGJAM,Digjam Ltd (DIGJAM) Adjusted Stock Prices
XNSE/GOLDIAM,Goldiam International Ltd. (GOLDIAM) Adjusted Stock Prices
XNSE/HINDCOPPER,Hindustan Copper Ltd. (HINDCOPPER) Adjusted Stock Prices
XNSE/JAYBARMARU,Jay Bharat Maruti Ltd. (JAYBARMARU) Adjusted Stock Prices
XNSE/SIL,Standard Industries Ltd. (SIL) Adjusted Stock Prices
XNSE/N6IIFLFIN,India Infoline Finance Ltd (N6IIFLFIN) Adjusted Stock Prices
XNSE/M1ICICI,ICICI Bank Ltd. (M1ICICI) Adjusted Stock Prices
XNSE/DABUR,Dabur India Ltd. (DABUR) Adjusted Stock Prices
XNSE/JPPOWER,Jaiprakash Power Ventures Ltd (JPPOWER) Adjusted Stock Prices
XNSE/BLUESTARCO,Blue Star Ltd. (BLUESTARCO) Adjusted Stock Prices
XNSE/EDSERV,Edserv Softsystems Limited
XNSE/NATHBIOGEN,Nath Bio-Gens (India) Ltd. (NATHBIOGEN) Adjusted Stock Prices
XNSE/MEGH,Meghmani Organics Limited (MEGH) Adjusted Stock Prices
XNSE/ADANITRANS,Adani Transmission Ltd (ADANITRANS) Adjusted Stock Prices
XNSE/EON,Eon Electric Ltd (EON) Adjusted Stock Prices
XNSE/FEL,Future Enterprises Ltd. (FEL) Adjusted Stock Prices
XNSE/NCC,NCC Ltd (NCC) Adjusted Stock Prices
XNSE/EMCO,Emco Ltd. (EMCO) Adjusted Stock Prices
XNSE/ITI,ITI Ltd. (ITI) Adjusted Stock Prices
XNSE/KHAITANLTD,Khaitan (India) Ltd. (KHAITANLTD) Adjusted Stock Prices
XNSE/NEOCORP,Neo Corp International Ltd
XNSE/MFFTFTF14ADV,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF14ADV) Adjusted Stock Prices
XNSE/EMPEESUG,Empee Sugars & Chemicals Ltd.
XNSE/SJVN,SJVN Ltd. (SJVN) Adjusted Stock Prices
XNSE/BIMETAL,Bimetal Bearings Ltd.
XNSE/W1TRENT,Trent Ltd. (W1TRENT) Adjusted Stock Prices
XNSE/ROSSELLIND,Rossell India Ltd (ROSSELLIND) Adjusted Stock Prices
XNSE/PILIND,PIL Italica Lifestyle Ltd. (PILIND) Adjusted Stock Prices
XNSE/ABAN,Aban Offshore Ltd. (ABAN) Adjusted Stock Prices
XNSE/BANKRAJAS,Bank of Rajasthan Ltd.
XNSE/E1VIDEOIND,Videocon Industries Ltd. (E1VIDEOIND) Adjusted Stock Prices
XNSE/PAPERPROD,Huhtamaki PPL Ltd. (PAPERPROD) Adjusted Stock Prices
XNSE/NDL,Nandan Denim Ltd (NDL) Adjusted Stock Prices
XNSE/RELNIFTY,Reliance Nippon Life Asset Management Ltd. (RELNIFTY) Adjusted Stock Prices
XNSE/MPHASIS,Mphasis Ltd (MPHASIS) Adjusted Stock Prices
XNSE/ZUARI,Zuari Agro Chemicals Ltd (ZUARI) Adjusted Stock Prices
XNSE/E2HINDALC0,Hindalco Industries Ltd. (E2HINDALC0) Adjusted Stock Prices
XNSE/IDBIGOLD,IDBI Bank Ltd (IDBIGOLD) Adjusted Stock Prices
XNSE/THEMISMED,Themis Medicare Ltd. (THEMISMED) Adjusted Stock Prices
XNSE/SADBHIN,Sadbhav Infrastructure Project Limited (SADBHIN) Adjusted Stock Prices
XNSE/ELGIRUBBER,Elgi Rubber Company Ltd
XNSE/ASAHIINDIA,Asahi India Glass Ltd. (ASAHIINDIA) Adjusted Stock Prices
XNSE/MURLIIND,Murli Industries Ltd. (MURLIIND) Adjusted Stock Prices
XNSE/N1IIHFL,India Infoline Housing Finance Ltd (N1IIHFL) Adjusted Stock Prices
XNSE/MFFTFTF14AGR,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF14AGR) Adjusted Stock Prices
XNSE/MFH1175J29RG,HDFC Asset Management Company Ltd. (MFH1175J29RG) Adjusted Stock Prices
XNSE/SHREEASHTA,Shree Ashtavinayak Cine Vision Ltd.
XNSE/NBMUTHOOTFIN,Muthoot Finance Ltd. (NBMUTHOOTFIN) Adjusted Stock Prices
XNSE/TORNTPHARM,Torrent Pharmaceuticals Ltd. (TORNTPHARM) Adjusted Stock Prices
XNSE/SOLEMS,Solectron EMS India Ltd.
XNSE/KECL,Kirloskar Electric Co. Ltd. (KECL) Adjusted Stock Prices
XNSE/AFTEK,Aftek Ltd
XNSE/AGRODUTCH,Agro Dutch Industries Ltd. (AGRODUTCH) Adjusted Stock Prices
XNSE/PEARLGLOBL,Pearl Global Ltd. (PEARLGLOBL) Adjusted Stock Prices
XNSE/MFLTFXHGD,L&T Investment Management Limited (MFLTFXHGD) Adjusted Stock Prices
XNSE/EVEREADY,Eveready Industries India Ltd. (EVEREADY) Adjusted Stock Prices
XNSE/IPCL,Indian Petrochemicals Corporation Ltd. (IPCL) Adjusted Stock Prices
XNSE/HINDMOTORS,Hindustan Motors Ltd. (HINDMOTORS) Adjusted Stock Prices
XNSE/PUNJABCHEM,Punjab Chemicals & Crop Protection Ltd. (PUNJABCHEM) Adjusted Stock Prices
XNSE/N1SRTRANSFIN,Shriram Transport Finance Co. Ltd. (N1SRTRANSFIN) Adjusted Stock Prices
XNSE/EUROCERA,Euro Ceramics Ltd. (EUROCERA) Adjusted Stock Prices
XNSE/SANDESH,Sandesh Ltd. (SANDESH) Adjusted Stock Prices
XNSE/AMBICAAGAR,Ambica Agarbathies Aroma & Industries Ltd (AMBICAAGAR) Adjusted Stock Prices
XNSE/INDOCO,Indoco Remedies Ltd (INDOCO) Adjusted Stock Prices
XNSE/PARABDRUGS,Parabolic Drugs Ltd (PARABDRUGS) Adjusted Stock Prices
XNSE/POLYMED,Poly Medicure Ltd. (POLYMED) Adjusted Stock Prices
XNSE/CIGNITITEC,Cigniti Technologies Ltd (CIGNITITEC) Adjusted Stock Prices
XNSE/ZYDUSWELL,Zydus Wellness Ltd (ZYDUSWELL) Adjusted Stock Prices
XNSE/TCIFINANCE,TCI Finance Ltd. (TCIFINANCE) Adjusted Stock Prices
XNSE/INDUSFILA,Indus Fila Ltd.
XNSE/SHALPAINTS,Shalimar Paints Ltd. (SHALPAINTS) Adjusted Stock Prices
XNSE/GHCL,GHCL Ltd. (GHCL) Adjusted Stock Prices
XNSE/JSWHL,JSW Holdings Ltd (JSWHL) Adjusted Stock Prices
XNSE/PGIL,Pearl Global Industries Ltd (PGIL) Adjusted Stock Prices
XNSE/ARIHANT,Arihant Foundations & Housing Ltd. (ARIHANT) Adjusted Stock Prices
XNSE/TATAELXSI,Tata Elxsi Ltd. (TATAELXSI) Adjusted Stock Prices
XNSE/MFFTFTF15DV,Franklin Templeton Asset Management (India) Private Limited (MFFTFTF15DV) Adjusted Stock Prices
XNSE/SELMCL,SEL Manufacturing Co. Ltd. (SELMCL) Adjusted Stock Prices
XNSE/ZODJRDMKJ,Zodiac-JRD-MKJ Ltd. (ZODJRDMKJ) Adjusted Stock Prices
XNSE/IFCI,IFCI Ltd. (IFCI) Adjusted Stock Prices
XNSE/N5NTPC,NTPC Ltd. (N5NTPC) Adjusted Stock Prices
XNSE/TVSELECT,TVS Electronics Ltd.. (TVSELECT) Adjusted Stock Prices
XNSE/HDFCMFGETF,HDFC Asset Management Company Ltd. (HDFCMFGETF) Adjusted Stock Prices
XNSE/N4SHRIRAMCIT,Shriram City Union Finance Ltd. (N4SHRIRAMCIT) Adjusted Stock Prices
XNSE/SMMOMAI,Momai Apparels Ltd (SMMOMAI) Adjusted Stock Prices
XNSE/GULFCORP,GOCL Corporation Ltd. (GULFCORP) Adjusted Stock Prices
XNSE/HEXATRADEX,Hexa Tradex Ltd (HEXATRADEX) Adjusted Stock Prices
XNSE/KAUSHALYA,Kaushalya Infrastructure Development Corp.Ltd. (KAUSHALYA) Adjusted Stock Prices
XNSE/AVANTIFEED,Avanti Feeds Ltd. (AVANTIFEED) Adjusted Stock Prices
XNSE/SPICETELE,Spice Communications Ltd. (SPICETELE) Adjusted Stock Prices
XNSE/SMARTLINK,Smartlink Network Systems Limited (SMARTLINK) Adjusted Stock Prices
XNSE/BINANICEM,Binani Cement Ltd.
XNSE/TTML,Tata Teleservices (Maharashtra) Ltd. (TTML) Adjusted Stock Prices
XNSE/RENUKA,Shree Renuka Sugars Ltd. (RENUKA) Adjusted Stock Prices
XNSE/UTISUNDER,Unit Trust of India (UTISUNDER) Adjusted Stock Prices
XNSE/PNEUMATIC,Pneumatic Holdings Ltd. (PNEUMATIC) Adjusted Stock Prices
XNSE/SHOPERSTOP,Shoppers Stop Ltd (SHOPERSTOP) Adjusted Stock Prices
XNSE/SHANTIGEAR,Shanthi Gears Ltd. (SHANTIGEAR) Adjusted Stock Prices
XNSE/WELENT,Welspun Enterprises Ltd. (WELENT) Adjusted Stock Prices
XNSE/BIRLACORPN,Birla Corporation Ltd. (BIRLACORPN) Adjusted Stock Prices
XNSE/SUJANAUNI,Sujana Universal Industries Ltd. (SUJANAUNI) Adjusted Stock Prices
XNSE/PARSVNATH,Parsvnath Developers Ltd. (PARSVNATH) Adjusted Stock Prices
XNSE/GAMMNINFRA,Gammon Infrastructure Projects Ltd (GAMMNINFRA) Adjusted Stock Prices
XNSE/SUPERHOUSE,Superhouse Ltd. (SUPERHOUSE) Adjusted Stock Prices
XNSE/VENKEYS,Venky`s (India) Ltd. (VENKEYS) Adjusted Stock Prices
XNSE/W1ORBITCORP,Orbit Corporation Ltd. (W1ORBITCORP) Adjusted Stock Prices
XNSE/INFODRIVE,Info-Drive Software Ltd.
XNSE/SEAMECLTD,Seamec Ltd. (SEAMECLTD) Adjusted Stock Prices
XNSE/TAKSHEEL,Taksheel Solutions Ltd (TAKSHEEL) Adjusted Stock Prices
XNSE/KOJAMFIN,Kojam Fininvest Ltd. (KOJAMFIN) Adjusted Stock Prices
XNSE/MAITHANALL,Maithan Alloys Ltd (MAITHANALL) Adjusted Stock Prices
XNSE/ESSAROIL,Essar Oil Ltd. (ESSAROIL) Adjusted Stock Prices
XNSE/NATCOPHARM,NATCO Pharma Ltd. (NATCOPHARM) Adjusted Stock Prices
XNSE/KOLTEPATIL,Kolte-Patil Developers Ltd. (KOLTEPATIL) Adjusted Stock Prices
XNSE/SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Ltd (SHREEPUSHK) Adjusted Stock Prices
XNSE/MAYURUNIQ,Mayur Uniquoters Ltd. (MAYURUNIQ) Adjusted Stock Prices
XNSE/FIRSTLEASE,First Leasing Co. of India Ltd.
XNSE/FMGOETZE,Federal Mogul Goetze (India) Ltd. (FMGOETZE) Adjusted Stock Prices
XNSE/N6RECLTD,Rural Electrification Corporation Ltd (N6RECLTD) Adjusted Stock Prices
XNSE/STRTECH,Sterlite Technologies Ltd (STRTECH) Adjusted Stock Prices
XNSE/JAYNECOIND,Jayaswal NECO Industries Ltd. (JAYNECOIND) Adjusted Stock Prices
XNSE/KANDAGIRI,Kandagiri Spinning Mills Ltd.
XNSE/SBBJ,State Bank of Bikaner & Jaipur Ltd. (SBBJ) Adjusted Stock Prices
XNSE/GRASIM,Grasim Industries Ltd. (GRASIM) Adjusted Stock Prices
XNSE/TELEDATAIT,Teledata Technology Solutions Ltd (TELEDATAIT) Adjusted Stock Prices
XNSE/ASTRAZEN,AstraZeneca Pharma India Ltd. (ASTRAZEN) Adjusted Stock Prices
XNSE/SWARAJENG,Swaraj Engines Ltd. (SWARAJENG) Adjusted Stock Prices
XNSE/GALLANTT,Gallantt Metal Ltd. (GALLANTT) Adjusted Stock Prices
XNSE/JCTEL,JCT Electronics Ltd. (JCTEL) Adjusted Stock Prices
XNSE/ALKALI,Alkali Metals Ltd (ALKALI) Adjusted Stock Prices
XNSE/ADFFOODS,ADF Foods Ltd. (ADFFOODS) Adjusted Stock Prices
XNSE/GOODLUCK,Goodluck India Ltd. (GOODLUCK) Adjusted Stock Prices
XNSE/PETRONET,Petronet LNG Ltd. (PETRONET) Adjusted Stock Prices
XNSE/BHARATGEAR,Bharat Gears Ltd. (BHARATGEAR) Adjusted Stock Prices
XNSE/BATLIBOI,Batliboi Ltd.
XNSE/IL_FSTRANS,IL&FS Transportation Networks Ltd. (IL_FSTRANS) Adjusted Stock Prices
XNSE/PATNI,Patni Computer Systems
XNSE/SHREYAS,Shreyas Shipping & Logistics Ltd. (SHREYAS) Adjusted Stock Prices
XNSE/RELGOLD,Reliance Nippon Life Asset Management Ltd. (RELGOLD) Adjusted Stock Prices
XNSE/MFUFTFGR12PX,UTI Asset Management Company Ltd (MFUFTFGR12PX) Adjusted Stock Prices
XNSE/SURANAIND,Surana Industries Ltd. (SURANAIND) Adjusted Stock Prices
XNSE/ARCHIDPLY,Archidply Industries Ltd (ARCHIDPLY) Adjusted Stock Prices
XNSE/MFBSLCAP19RG,Birla Sun Life Asset Management Company Ltd (MFBSLCAP19RG) Adjusted Stock Prices
XNSE/HINDDORROL,Hindustan Dorr-Oliver Ltd. (HINDDORROL) Adjusted Stock Prices
